frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
747,2026-03-29 22:26:04.697,person-SAFE,SAFE,SAFE,True,False,68.48,31.68
748,2026-03-29 22:26:04.731,person-SAFE,SAFE,SAFE,True,False,61.7,30.81
749,2026-03-29 22:26:04.766,person-SAFE,SAFE,SAFE,True,False,57.75,29.55
750,2026-03-29 22:26:04.784,person-SAFE,SAFE,SAFE,True,False,59.33,58.0
751,2026-03-29 22:26:04.802,person-SAFE,SAFE,SAFE,True,False,45.22,58.49
752,2026-03-29 22:26:04.821,person-SAFE,SAFE,SAFE,True,False,67.47,54.19
753,2026-03-29 22:26:04.840,person-SAFE,SAFE,SAFE,True,False,48.0,55.18
754,2026-03-29 22:26:04.860,person-SAFE,SAFE,SAFE,True,False,52.15,54.07
755,2026-03-29 22:26:04.879,person-SAFE,SAFE,SAFE,True,False,42.42,54.16
756,2026-03-29 22:26:04.899,person-SAFE,SAFE,SAFE,True,False,60.51,53.36
757,2026-03-29 22:26:04.918,person-SAFE,SAFE,SAFE,True,False,43.19,55.89
758,2026-03-29 22:26:04.939,person-SAFE,SAFE,SAFE,True,False,64.26,51.22
759,2026-03-29 22:26:04.959,person-SAFE,SAFE,SAFE,True,False,63.08,50.42
760,2026-03-29 22:26:04.980,person-SAFE,SAFE,SAFE,True,False,55.69,50.99
761,2026-03-29 22:26:05.003,person-SAFE,SAFE,SAFE,True,False,69.08,46.76
762,2026-03-29 22:26:05.025,person-SAFE,SAFE,SAFE,True,False,61.25,48.08
763,2026-03-29 22:26:05.049,person-SAFE,SAFE,SAFE,True,False,50.93,43.79
764,2026-03-29 22:26:05.073,person-SAFE,SAFE,SAFE,True,False,51.47,43.25
765,2026-03-29 22:26:05.099,person-SAFE,SAFE,SAFE,True,False,47.49,39.32
766,2026-03-29 22:26:05.125,person-SAFE,SAFE,SAFE,True,False,45.42,39.71
767,2026-03-29 22:26:05.156,person-SAFE,SAFE,SAFE,True,False,66.55,34.3
768,2026-03-29 22:26:05.185,person-SAFE,SAFE,SAFE,True,False,73.65,35.07
769,2026-03-29 22:26:05.212,person-SAFE,SAFE,SAFE,True,False,73.26,38.88
770,2026-03-29 22:26:05.244,person-SAFE,SAFE,SAFE,True,False,51.28,32.89
771,2026-03-29 22:26:05.274,person-SAFE,SAFE,SAFE,True,False,61.61,33.81
772,2026-03-29 22:26:05.302,person-SAFE,SAFE,SAFE,True,False,47.0,37.23
773,2026-03-29 22:26:05.320,person-SAFE,SAFE,SAFE,True,False,56.46,57.89
