frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
1,2026-03-29 22:26:40.519,person-CRITICAL,CRITICAL,SAFE,True,False,68.1,34.57
2,2026-03-29 22:26:40.538,person-CRITICAL,CRITICAL,SAFE,True,False,53.64,56.48
3,2026-03-29 22:26:40.556,person-CRITICAL,CRITICAL,SAFE,True,False,65.57,57.16
4,2026-03-29 22:26:40.575,person-CRITICAL,CRITICAL,SAFE,True,False,49.63,56.78
5,2026-03-29 22:26:40.594,person-CRITICAL,CRITICAL,SAFE,True,False,66.74,53.91
6,2026-03-29 22:26:40.614,person-CRITICAL,CRITICAL,SAFE,True,False,60.21,54.34
7,2026-03-29 22:26:40.632,person-CRITICAL,CRITICAL,SAFE,True,False,50.34,56.91
8,2026-03-29 22:26:40.651,person-CRITICAL,CRITICAL,SAFE,True,False,39.38,55.63
9,2026-03-29 22:26:40.672,person-CRITICAL,CRITICAL,SAFE,True,False,50.66,51.59
10,2026-03-29 22:26:40.692,person-CRITICAL,CRITICAL,SAFE,True,False,40.37,50.87
11,2026-03-29 22:26:40.712,person-CRITICAL,CRITICAL,SAFE,True,False,65.23,52.52
12,2026-03-29 22:26:40.733,person-CRITICAL,CRITICAL,SAFE,True,False,68.33,51.69
13,2026-03-29 22:26:40.755,person-CRITICAL,CRITICAL,SAFE,True,False,55.93,48.39
14,2026-03-29 22:26:40.778,person-CRITICAL,CRITICAL,SAFE,True,False,70.46,46.84
15,2026-03-29 22:26:40.801,person-CRITICAL,CRITICAL,SAFE,True,False,44.05,46.0
16,2026-03-29 22:26:40.825,person-CRITICAL,CRITICAL,SAFE,True,False,60.55,43.04
17,2026-03-29 22:26:40.852,person-CRITICAL,CRITICAL,SAFE,True,False,60.11,40.04
18,2026-03-29 22:26:40.885,person-CRITICAL,CRITICAL,SAFE,True,False,75.11,32.86
19,2026-03-29 22:26:40.910,person-CRITICAL,CRITICAL,SAFE,True,False,56.29,40.4
20,2026-03-29 22:26:40.939,person-CRITICAL,CRITICAL,SAFE,True,False,74.73,36.3
21,2026-03-29 22:26:40.967,person-CRITICAL,CRITICAL,SAFE,True,False,53.54,37.09
22,2026-03-29 22:26:40.994,person-CRITICAL,CRITICAL,SAFE,True,False,67.61,39.57
23,2026-03-29 22:26:41.021,person-CRITICAL,CRITICAL,SAFE,True,False,54.2,37.2
24,2026-03-29 22:26:41.050,person-CRITICAL,CRITICAL,SAFE,True,False,66.98,36.54
25,2026-03-29 22:26:41.083,person-CRITICAL,CRITICAL,SAFE,True,False,62.12,31.68
26,2026-03-29 22:26:41.113,person-CRITICAL,CRITICAL,SAFE,True,False,71.99,33.4
27,2026-03-29 22:26:41.146,person-CRITICAL,CRITICAL,SAFE,True,False,74.95,31.53
28,2026-03-29 22:26:41.179,person-CRITICAL,CRITICAL,SAFE,True,False,67.65,31.75
29,2026-03-29 22:26:41.212,person-CRITICAL,CRITICAL,SAFE,True,False,56.86,32.16
30,2026-03-29 22:26:41.246,person-CRITICAL,CRITICAL,SAFE,True,False,74.81,30.52
31,2026-03-29 22:26:41.279,person-CRITICAL,CRITICAL,SAFE,True,False,69.33,30.91
32,2026-03-29 22:26:41.313,person-CRITICAL,CRITICAL,SAFE,True,False,65.19,30.0
33,2026-03-29 22:26:41.346,person-CRITICAL,CRITICAL,SAFE,True,False,77.02,32.07
34,2026-03-29 22:26:41.379,person-CRITICAL,CRITICAL,SAFE,True,False,54.65,31.17
35,2026-03-29 22:26:41.412,person-CRITICAL,CRITICAL,SAFE,True,False,69.75,31.36
36,2026-03-29 22:26:41.446,person-CRITICAL,CRITICAL,SAFE,True,False,64.1,31.01
37,2026-03-29 22:26:41.479,person-CRITICAL,CRITICAL,SAFE,True,False,59.33,31.05
38,2026-03-29 22:26:41.512,person-CRITICAL,CRITICAL,SAFE,True,False,75.87,31.49
39,2026-03-29 22:26:41.546,person-CRITICAL,CRITICAL,SAFE,True,False,53.56,30.33
40,2026-03-29 22:26:41.587,person-CRITICAL,CRITICAL,SAFE,True,False,66.72,25.19
41,2026-03-29 22:26:41.614,person-CRITICAL,CRITICAL,SAFE,True,False,71.78,38.46
42,2026-03-29 22:26:41.634,person-CRITICAL,CRITICAL,SAFE,True,False,52.96,52.51
43,2026-03-29 22:26:41.655,person-CRITICAL,CRITICAL,SAFE,True,False,68.58,51.93
44,2026-03-29 22:26:41.675,person-CRITICAL,CRITICAL,SAFE,True,False,67.6,51.42
45,2026-03-29 22:26:41.696,person-CRITICAL,CRITICAL,SAFE,True,False,57.27,50.36
46,2026-03-29 22:26:41.718,person-CRITICAL,CRITICAL,SAFE,True,False,44.23,48.52
47,2026-03-29 22:26:41.739,person-CRITICAL,CRITICAL,SAFE,True,False,65.18,51.44
48,2026-03-29 22:26:41.759,person-CRITICAL,CRITICAL,SAFE,True,False,40.91,52.2
49,2026-03-29 22:26:41.779,person-CRITICAL,CRITICAL,SAFE,True,False,63.35,53.94
50,2026-03-29 22:26:41.799,person-CRITICAL,CRITICAL,SAFE,True,False,38.95,53.52
51,2026-03-29 22:26:41.820,person-CRITICAL,CRITICAL,SAFE,True,False,69.51,48.46
52,2026-03-29 22:26:41.841,person-CRITICAL,CRITICAL,SAFE,True,False,66.01,50.53
53,2026-03-29 22:26:41.863,person-CRITICAL,CRITICAL,SAFE,True,False,53.68,47.57
54,2026-03-29 22:26:41.887,person-CRITICAL,CRITICAL,SAFE,True,False,68.9,44.76
55,2026-03-29 22:26:41.911,person-CRITICAL,CRITICAL,SAFE,True,False,62.68,43.06
56,2026-03-29 22:26:41.936,person-CRITICAL,CRITICAL,SAFE,True,False,63.96,41.14
57,2026-03-29 22:26:41.962,person-CRITICAL,CRITICAL,SAFE,True,False,58.03,39.86
58,2026-03-29 22:26:41.993,person-CRITICAL,CRITICAL,SAFE,True,False,57.98,34.2
59,2026-03-29 22:26:42.025,person-CRITICAL,CRITICAL,SAFE,True,False,74.81,31.68
60,2026-03-29 22:26:42.059,person-CRITICAL,CRITICAL,SAFE,True,False,54.92,31.14
61,2026-03-29 22:26:42.087,person-CRITICAL,CRITICAL,SAFE,True,False,66.95,37.05
62,2026-03-29 22:26:42.105,person-CRITICAL,CRITICAL,SAFE,True,False,55.63,59.29
63,2026-03-29 22:26:42.123,person-CRITICAL,CRITICAL,SAFE,True,False,53.17,57.22
64,2026-03-29 22:26:42.142,person-CRITICAL,CRITICAL,SAFE,True,False,39.68,54.41
65,2026-03-29 22:26:42.162,person-CRITICAL,CRITICAL,SAFE,True,False,44.43,54.22
66,2026-03-29 22:26:42.181,person-CRITICAL,CRITICAL,SAFE,True,False,52.35,57.29
67,2026-03-29 22:26:42.202,person-CRITICAL,CRITICAL,SAFE,True,False,64.51,50.07
68,2026-03-29 22:26:42.221,person-CRITICAL,CRITICAL,SAFE,True,False,66.91,54.51
69,2026-03-29 22:26:42.242,person-CRITICAL,CRITICAL,SAFE,True,False,41.61,51.93
70,2026-03-29 22:26:42.263,person-CRITICAL,CRITICAL,SAFE,True,False,61.7,50.32
71,2026-03-29 22:26:42.283,person-CRITICAL,CRITICAL,SAFE,True,False,42.94,53.04
72,2026-03-29 22:26:42.303,person-CRITICAL,CRITICAL,SAFE,True,False,41.76,51.68
73,2026-03-29 22:26:42.326,person-CRITICAL,CRITICAL,SAFE,True,False,62.23,47.76
74,2026-03-29 22:26:42.350,person-CRITICAL,CRITICAL,SAFE,True,False,58.0,43.61
75,2026-03-29 22:26:42.372,person-CRITICAL,CRITICAL,SAFE,True,False,45.51,45.8
76,2026-03-29 22:26:42.398,person-CRITICAL,CRITICAL,SAFE,True,False,59.83,40.77
77,2026-03-29 22:26:42.423,person-CRITICAL,CRITICAL,SAFE,True,False,68.56,41.65
78,2026-03-29 22:26:42.451,person-CRITICAL,CRITICAL,SAFE,True,False,74.93,37.39
79,2026-03-29 22:26:42.477,person-CRITICAL,CRITICAL,SAFE,True,False,44.94,40.28
80,2026-03-29 22:26:42.505,person-CRITICAL,CRITICAL,SAFE,True,False,50.54,36.89
81,2026-03-29 22:26:42.533,person-CRITICAL,CRITICAL,SAFE,True,False,61.96,37.47
82,2026-03-29 22:26:42.562,person-CRITICAL,CRITICAL,SAFE,True,False,49.74,36.6
83,2026-03-29 22:26:42.593,person-CRITICAL,CRITICAL,SAFE,True,False,72.29,32.66
84,2026-03-29 22:26:42.626,person-CRITICAL,CRITICAL,SAFE,True,False,52.95,32.1
85,2026-03-29 22:26:42.658,person-WARNING,WARNING,SAFE,False,True,31.69,31.56
86,2026-03-29 22:26:42.693,person-WARNING,WARNING,SAFE,False,True,33.4,29.94
87,2026-03-29 22:26:42.726,person-WARNING,WARNING,SAFE,False,True,32.09,31.16
88,2026-03-29 22:26:42.759,person-WARNING,WARNING,SAFE,False,True,32.05,31.21
89,2026-03-29 22:26:42.792,person-WARNING,WARNING,SAFE,False,True,32.05,31.2
90,2026-03-29 22:26:42.825,person-WARNING,WARNING,SAFE,False,True,31.73,31.52
91,2026-03-29 22:26:42.857,person-WARNING,WARNING,SAFE,False,True,31.41,31.83
92,2026-03-29 22:26:42.891,person-WARNING,WARNING,SAFE,False,True,32.28,30.97
93,2026-03-29 22:26:42.921,person-WARNING,WARNING,SAFE,False,True,29.19,34.25
94,2026-03-29 22:26:42.951,person-WARNING,WARNING,SAFE,False,True,28.09,35.6
95,2026-03-29 22:26:42.980,person-WARNING,WARNING,SAFE,False,True,27.22,36.74
96,2026-03-29 22:26:43.009,person-WARNING,WARNING,SAFE,False,True,27.69,36.12
97,2026-03-29 22:26:43.041,person-CRITICAL,CRITICAL,SAFE,True,False,75.28,31.64
98,2026-03-29 22:26:43.071,person-CRITICAL,CRITICAL,SAFE,True,False,55.01,34.98
99,2026-03-29 22:26:43.099,person-CRITICAL,CRITICAL,SAFE,True,False,63.43,36.84
100,2026-03-29 22:26:43.128,person-CRITICAL,CRITICAL,SAFE,True,False,66.96,36.22
101,2026-03-29 22:26:43.160,person-CRITICAL,CRITICAL,CRITICAL,True,True,61.06,33.06
102,2026-03-29 22:26:43.191,person-CRITICAL,CRITICAL,CRITICAL,True,True,76.65,33.1
103,2026-03-29 22:26:43.224,person-CRITICAL,CRITICAL,CRITICAL,True,True,54.83,30.9
104,2026-03-29 22:26:43.254,person-CRITICAL,CRITICAL,CRITICAL,True,True,63.8,35.52
105,2026-03-29 22:26:43.282,person-CRITICAL,CRITICAL,CRITICAL,True,True,61.88,37.18
106,2026-03-29 22:26:43.311,person-CRITICAL,CRITICAL,CRITICAL,True,True,61.5,35.39
107,2026-03-29 22:26:43.341,person-CRITICAL,CRITICAL,CRITICAL,True,True,59.84,34.15
108,2026-03-29 22:26:43.372,person-CRITICAL,CRITICAL,CRITICAL,True,True,54.05,33.35
109,2026-03-29 22:26:43.403,person-CRITICAL,CRITICAL,CRITICAL,True,True,52.92,34.22
110,2026-03-29 22:26:43.429,person-CRITICAL,CRITICAL,CRITICAL,True,True,58.78,39.08
111,2026-03-29 22:26:43.459,person-CRITICAL,CRITICAL,CRITICAL,True,True,51.19,35.01
112,2026-03-29 22:26:43.493,person-CRITICAL,CRITICAL,CRITICAL,True,True,79.69,30.67
113,2026-03-29 22:26:43.527,person-CRITICAL,CRITICAL,CRITICAL,True,True,60.62,31.17
114,2026-03-29 22:26:43.558,person-CRITICAL,CRITICAL,CRITICAL,True,True,64.7,33.4
115,2026-03-29 22:26:43.592,person-CRITICAL,CRITICAL,CRITICAL,True,True,75.55,30.49
116,2026-03-29 22:26:43.625,person-CRITICAL,CRITICAL,CRITICAL,True,True,68.02,31.26
117,2026-03-29 22:26:43.657,person-CRITICAL,CRITICAL,CRITICAL,True,True,72.47,32.45
118,2026-03-29 22:26:43.688,person-CRITICAL,CRITICAL,CRITICAL,True,True,58.77,33.21
119,2026-03-29 22:26:43.718,person-CRITICAL,CRITICAL,CRITICAL,True,True,68.07,34.54
120,2026-03-29 22:26:43.745,person-CRITICAL,CRITICAL,CRITICAL,True,True,65.34,39.04
121,2026-03-29 22:26:43.773,person-CRITICAL,CRITICAL,CRITICAL,True,True,64.62,36.32
122,2026-03-29 22:26:43.801,person-CRITICAL,CRITICAL,CRITICAL,True,True,72.02,37.36
123,2026-03-29 22:26:43.829,person-CRITICAL,CRITICAL,CRITICAL,True,True,54.08,38.21
124,2026-03-29 22:26:43.858,person-CRITICAL,CRITICAL,CRITICAL,True,True,50.18,35.8
125,2026-03-29 22:26:43.887,person-CRITICAL,CRITICAL,CRITICAL,True,True,77.99,34.55
126,2026-03-29 22:26:43.916,person-CRITICAL,CRITICAL,CRITICAL,True,True,77.28,36.48
127,2026-03-29 22:26:43.945,person-CRITICAL,CRITICAL,CRITICAL,True,True,61.52,36.55
128,2026-03-29 22:26:43.976,person-CRITICAL,CRITICAL,CRITICAL,True,True,65.49,33.17
129,2026-03-29 22:26:44.010,person-CRITICAL,CRITICAL,CRITICAL,True,True,63.53,30.44
130,2026-03-29 22:26:44.043,person-CRITICAL,CRITICAL,CRITICAL,True,True,77.62,30.96
131,2026-03-29 22:26:44.077,person-CRITICAL,CRITICAL,CRITICAL,True,True,54.29,30.78
132,2026-03-29 22:26:44.111,person-CRITICAL,CRITICAL,CRITICAL,True,True,59.19,30.51
133,2026-03-29 22:26:44.144,person-CRITICAL,CRITICAL,CRITICAL,True,True,64.8,30.85
134,2026-03-29 22:26:44.178,person-CRITICAL,CRITICAL,CRITICAL,True,True,66.28,30.75
135,2026-03-29 22:26:44.210,person-CRITICAL,CRITICAL,CRITICAL,True,True,55.26,31.87
136,2026-03-29 22:26:44.244,person-CRITICAL,CRITICAL,CRITICAL,True,True,69.85,30.51
137,2026-03-29 22:26:44.278,person-CRITICAL,CRITICAL,CRITICAL,True,True,65.13,30.83
138,2026-03-29 22:26:44.310,person-CRITICAL,CRITICAL,CRITICAL,True,True,72.26,31.45
139,2026-03-29 22:26:44.344,person-CRITICAL,CRITICAL,CRITICAL,True,True,54.13,31.08
140,2026-03-29 22:26:44.377,person-CRITICAL,CRITICAL,CRITICAL,True,True,63.83,30.69
141,2026-03-29 22:26:44.410,person-CRITICAL,CRITICAL,CRITICAL,True,True,64.96,31.55
142,2026-03-29 22:26:44.444,person-CRITICAL,CRITICAL,CRITICAL,True,True,67.29,30.3
143,2026-03-29 22:26:44.478,person-CRITICAL,CRITICAL,CRITICAL,True,True,76.53,30.45
144,2026-03-29 22:26:44.511,person-CRITICAL,CRITICAL,CRITICAL,True,True,75.98,31.12
145,2026-03-29 22:26:44.545,person-CRITICAL,CRITICAL,CRITICAL,True,True,70.81,31.18
146,2026-03-29 22:26:44.578,person-CRITICAL,CRITICAL,CRITICAL,True,True,70.59,31.5
147,2026-03-29 22:26:44.611,person-CRITICAL,CRITICAL,CRITICAL,True,True,68.89,30.93
148,2026-03-29 22:26:44.644,person-CRITICAL,CRITICAL,CRITICAL,True,True,80.7,31.5
149,2026-03-29 22:26:44.677,person-CRITICAL,CRITICAL,CRITICAL,True,True,57.93,30.76
150,2026-03-29 22:26:44.710,person-CRITICAL,CRITICAL,CRITICAL,True,True,74.12,31.22
151,2026-03-29 22:26:44.744,person-CRITICAL,CRITICAL,CRITICAL,True,True,69.87,30.49
152,2026-03-29 22:26:44.777,person-CRITICAL,CRITICAL,CRITICAL,True,True,78.74,31.24
153,2026-03-29 22:26:44.811,person-CRITICAL,CRITICAL,CRITICAL,True,True,55.8,31.24
154,2026-03-29 22:26:44.843,person-CRITICAL,CRITICAL,CRITICAL,True,True,56.26,32.1
155,2026-03-29 22:26:44.876,person-CRITICAL,CRITICAL,CRITICAL,True,True,72.4,30.8
156,2026-03-29 22:26:44.910,person-CRITICAL,CRITICAL,CRITICAL,True,True,74.68,30.93
157,2026-03-29 22:26:44.943,person-CRITICAL,CRITICAL,CRITICAL,True,True,71.31,31.26
158,2026-03-29 22:26:44.979,person-CRITICAL,CRITICAL,CRITICAL,True,True,67.07,28.64
159,2026-03-29 22:26:45.015,person-CRITICAL,CRITICAL,CRITICAL,True,True,79.68,28.74
160,2026-03-29 22:26:45.049,person-CRITICAL,CRITICAL,CRITICAL,True,True,74.34,30.27
161,2026-03-29 22:26:45.084,person-CRITICAL,CRITICAL,CRITICAL,True,True,59.53,29.94
162,2026-03-29 22:26:45.103,person-WARNING,WARNING,CRITICAL,False,False,18.2,54.95
163,2026-03-29 22:26:45.123,person-WARNING,WARNING,CRITICAL,False,False,17.97,55.64
164,2026-03-29 22:26:45.141,person-WARNING,WARNING,CRITICAL,False,False,17.62,56.76
165,2026-03-29 22:26:45.162,person-WARNING,WARNING,CRITICAL,False,False,19.6,51.03
166,2026-03-29 22:26:45.181,person-WARNING,WARNING,CRITICAL,False,False,18.57,53.86
167,2026-03-29 22:26:45.200,person-WARNING,WARNING,CRITICAL,False,False,17.84,56.05
168,2026-03-29 22:26:45.220,person-WARNING,WARNING,CRITICAL,False,False,18.58,53.83
169,2026-03-29 22:26:45.242,person-WARNING,WARNING,CRITICAL,False,False,20.75,48.19
170,2026-03-29 22:26:45.263,person-WARNING,WARNING,CRITICAL,False,False,19.77,50.58
171,2026-03-29 22:26:45.283,person-WARNING,WARNING,CRITICAL,False,False,19.4,51.55
172,2026-03-29 22:26:45.306,person-WARNING,WARNING,CRITICAL,False,False,21.89,45.69
173,2026-03-29 22:26:45.329,person-WARNING,WARNING,CRITICAL,False,False,21.81,45.85
174,2026-03-29 22:26:45.352,person-WARNING,WARNING,CRITICAL,False,False,22.05,45.35
175,2026-03-29 22:26:45.376,person-WARNING,WARNING,CRITICAL,False,False,22.17,45.1
176,2026-03-29 22:26:45.401,person-WARNING,WARNING,CRITICAL,False,False,24.14,41.42
177,2026-03-29 22:26:45.427,person-CRITICAL,CRITICAL,CRITICAL,True,True,72.82,40.02
178,2026-03-29 22:26:45.457,person-CRITICAL,CRITICAL,CRITICAL,True,True,77.47,34.76
179,2026-03-29 22:26:45.489,person-CRITICAL,CRITICAL,CRITICAL,True,True,79.17,32.15
180,2026-03-29 22:26:45.518,person-CRITICAL,CRITICAL,CRITICAL,True,True,52.4,36.11
181,2026-03-29 22:26:45.549,person-CRITICAL,CRITICAL,CRITICAL,True,True,59.07,32.88
182,2026-03-29 22:26:45.581,person-CRITICAL,CRITICAL,CRITICAL,True,True,55.48,32.2
183,2026-03-29 22:26:45.616,person-CRITICAL,CRITICAL,CRITICAL,True,True,57.92,29.88
184,2026-03-29 22:26:45.650,person-CRITICAL,CRITICAL,CRITICAL,True,True,61.76,30.54
185,2026-03-29 22:26:45.668,person-CRITICAL,CRITICAL,CRITICAL,True,True,39.24,58.48
186,2026-03-29 22:26:45.687,person-CRITICAL,CRITICAL,CRITICAL,True,True,51.12,56.15
187,2026-03-29 22:26:45.706,person-CRITICAL,CRITICAL,CRITICAL,True,True,57.06,54.17
188,2026-03-29 22:26:45.725,person-CRITICAL,CRITICAL,CRITICAL,True,True,42.29,55.4
189,2026-03-29 22:26:45.745,person-CRITICAL,CRITICAL,CRITICAL,True,True,54.46,53.89
190,2026-03-29 22:26:45.765,person-CRITICAL,CRITICAL,CRITICAL,True,True,42.0,53.78
191,2026-03-29 22:26:45.784,person-CRITICAL,CRITICAL,CRITICAL,True,True,41.47,54.25
192,2026-03-29 22:26:45.804,person-CRITICAL,CRITICAL,CRITICAL,True,True,60.15,53.11
193,2026-03-29 22:26:45.825,person-CRITICAL,CRITICAL,CRITICAL,True,True,66.07,50.61
194,2026-03-29 22:26:45.847,person-CRITICAL,CRITICAL,CRITICAL,True,True,57.36,47.92
195,2026-03-29 22:26:45.868,person-CRITICAL,CRITICAL,CRITICAL,True,True,67.51,50.78
196,2026-03-29 22:26:45.891,person-CRITICAL,CRITICAL,CRITICAL,True,True,43.47,46.81
197,2026-03-29 22:26:45.915,person-CRITICAL,CRITICAL,CRITICAL,True,True,57.55,43.1
198,2026-03-29 22:26:45.939,person-CRITICAL,CRITICAL,CRITICAL,True,True,69.53,44.31
199,2026-03-29 22:26:45.966,person-CRITICAL,CRITICAL,CRITICAL,True,True,67.21,38.14
200,2026-03-29 22:26:45.993,person-CRITICAL,CRITICAL,CRITICAL,True,True,58.71,39.46
201,2026-03-29 22:26:46.024,person-CRITICAL,CRITICAL,SAFE,True,False,77.09,33.59
202,2026-03-29 22:26:46.053,person-CRITICAL,CRITICAL,SAFE,True,False,78.51,34.81
203,2026-03-29 22:26:46.084,person-CRITICAL,CRITICAL,SAFE,True,False,75.85,33.65
204,2026-03-29 22:26:46.111,person-CRITICAL,CRITICAL,SAFE,True,False,63.98,39.94
205,2026-03-29 22:26:46.142,person-CRITICAL,CRITICAL,SAFE,True,False,51.53,33.08
206,2026-03-29 22:26:46.174,person-CRITICAL,CRITICAL,SAFE,True,False,71.62,33.08
207,2026-03-29 22:26:46.211,person-CRITICAL,CRITICAL,SAFE,True,False,69.44,27.55
208,2026-03-29 22:26:46.248,person-CRITICAL,CRITICAL,SAFE,True,False,70.25,28.61
209,2026-03-29 22:26:46.280,person-CRITICAL,CRITICAL,SAFE,True,False,67.0,33.92
210,2026-03-29 22:26:46.311,person-CRITICAL,CRITICAL,SAFE,True,False,70.16,32.83
211,2026-03-29 22:26:46.348,person-CRITICAL,CRITICAL,SAFE,True,False,79.06,28.15
212,2026-03-29 22:26:46.379,person-CRITICAL,CRITICAL,SAFE,True,False,58.74,33.25
213,2026-03-29 22:26:46.413,person-CRITICAL,CRITICAL,SAFE,True,False,61.83,30.55
214,2026-03-29 22:26:46.444,person-CRITICAL,CRITICAL,SAFE,True,False,50.07,33.68
215,2026-03-29 22:26:46.478,person-CRITICAL,CRITICAL,SAFE,True,False,79.71,30.58
216,2026-03-29 22:26:46.509,person-CRITICAL,CRITICAL,SAFE,True,False,57.31,33.53
217,2026-03-29 22:26:46.540,person-CRITICAL,CRITICAL,SAFE,True,False,71.96,33.12
218,2026-03-29 22:26:46.559,person-CRITICAL,CRITICAL,SAFE,True,False,54.63,54.94
219,2026-03-29 22:26:46.581,person-CRITICAL,CRITICAL,SAFE,True,False,55.75,50.32
220,2026-03-29 22:26:46.600,person-CRITICAL,CRITICAL,SAFE,True,False,50.72,54.97
221,2026-03-29 22:26:46.620,person-CRITICAL,CRITICAL,SAFE,True,False,49.86,53.39
222,2026-03-29 22:26:46.644,person-CRITICAL,CRITICAL,SAFE,True,False,55.78,44.37
223,2026-03-29 22:26:46.665,person-CRITICAL,CRITICAL,SAFE,True,False,48.02,49.91
224,2026-03-29 22:26:46.685,person-CRITICAL,CRITICAL,SAFE,True,False,39.54,52.69
225,2026-03-29 22:26:46.705,person-CRITICAL,CRITICAL,SAFE,True,False,69.3,51.43
226,2026-03-29 22:26:46.726,person-CRITICAL,CRITICAL,SAFE,True,False,41.38,51.31
227,2026-03-29 22:26:46.746,person-CRITICAL,CRITICAL,SAFE,True,False,48.74,52.71
228,2026-03-29 22:26:46.766,person-CRITICAL,CRITICAL,SAFE,True,False,54.17,53.48
229,2026-03-29 22:26:46.786,person-CRITICAL,CRITICAL,SAFE,True,False,68.12,52.29
230,2026-03-29 22:26:46.807,person-CRITICAL,CRITICAL,SAFE,True,False,68.96,51.4
231,2026-03-29 22:26:46.828,person-CRITICAL,CRITICAL,SAFE,True,False,48.87,48.0
232,2026-03-29 22:26:46.851,person-CRITICAL,CRITICAL,SAFE,True,False,61.68,46.83
233,2026-03-29 22:26:46.875,person-CRITICAL,CRITICAL,SAFE,True,False,53.29,42.55
234,2026-03-29 22:26:46.903,person-CRITICAL,CRITICAL,SAFE,True,False,52.55,37.4
235,2026-03-29 22:26:46.927,person-CRITICAL,CRITICAL,SAFE,True,False,53.31,42.93
236,2026-03-29 22:26:46.953,person-CRITICAL,CRITICAL,SAFE,True,False,50.19,39.95
