Mode,Total Frames,Total Alerts,Correct Alerts (TP),Wrong Alerts (FP),Missed Alerts (FN),Precision,Recall,F1 Score,Accuracy,False Positive Rate,False Negative Rate,Avg FPS,Min FPS,Max FPS,Avg Latency (ms)
1,2079,2079,150,1929,0,0.0722,1.0,0.1346,0.0722,1.0,0.0,41.7996,1.4095,61.7854,60.655
2,2079,770,85,685,15,0.1104,0.85,0.1954,0.6633,0.3461,0.15,41.3749,13.5577,61.0542,60.8981
